"STREET NAME";"STREET NAME 1ST PART";"STREET NAME 2ND PART";"TOWN IF NOT GLASGOW";"ALTERNATIVE SPELLING";"DIRECTORY START scan 585";"DIRECTORY END scan 789"
"Gardner Street";;;;;;
"Garnet Place";;;;;;
"Garnethill Street";;;;;;
"Garngad Hill";;;;;;
"Garngad Road";;;;;;
"Garnkirk Street";;;;;;
"Garrioch Mill Road";;;;;;
"Garscadden Street";;;;;;
"Garscube Lane";;;;;;
"Garscube Road";;;;;;
"Garthland Drive";;;"Dennistoun";;;
"Garthland Street";;;;;;
"Garturk Street";;;"Govanhill";;;
"Gayfield Street";;;;;;
"George Square";;;;;;
"George Street";;;;"west";;
"Germinston Street";;;;;;
"Gibson Street";;;;;;
"Gilmour Street";;;;;;
"Gladstone Street";;;;;;
"Glasgow Street";;;"Hillhead";;;
"Glassford Street";;;;"east, west";;
"Glebe Street";;;;;;
"Glenavon Terrace";;;"Partick";;;
"Glenavon Terrace";;;;;;
"Glencairn Terrace";;;"Kelvinside";;;
"Glenton Terrace";;;;;;
"Cloucester Street";;;;;;
"Golf-hill Drive";;;"Dennistoun";;;
"Goosedubs";;;;;;
"Gordon Lane";;;;;;
"Gordon Street";;;;;;
"Gourlay Street";;;"Springburn";;;
"Govan Road";;;;;;
"Govan Street";;;;;;
"Govanhill Street";;;"Govanhill";;;
"Govanview Terrace";;;"Govanhill";;;
"Gower Street";;;"Kelvinside";;;
"Grace Street";;;;;;
"Graeme Street";;;;;;
"Grafton Place";;;;;;
"Grafton Square";;;;;;
"Grafton Street";;;;;;
"Graham Square";;;;;;
"Graham Street";;;"Bridgeton";"west";;
"Granby Place";;;"Hillhead";;;
"Granby Terrace";;;"Hillhead";;;
"Grange Terrace";;;"Mount Florida, Pollockshields";;;
"Grant Street";;;;;;
"Granville Buildings";;;"Pollockshields";;;
"Granville Place";;;"Govanhill";;;
"Granville Street";;;;;;
"Gray Street";;;;;;
"Great George Street";;;"Hillhead";;;
"Great Kelvin Terrace";;;"Hillhead";;;
"Great Wellington Street";;;;;;
"Great Western Road";;;"Glasogw, Hillhead, Kelvinside";;;
"Great Western Terrace";;;"Kelvinside";;;
"Green Street";;;"Bridgeton, Calton, Low";;;
"Greenbank ";;;"Partick";;;
"Greendyke Street";;;;;;
"Greenhead Street";;;;;;
"Greenhill Place";;;;;;
"Greenhill Street";;;;;;
"Greenlaw Place";;;;;;
"Greenside Lane";;;;;;
"Greenside Street";;;;;;
"Greenvale Place";;;;;;
"Greenvale Street";;;;;;
"Grosvenor Crescent";;;"Kelvinside";;;
"Grosvenor Place";;;"Govanhill";;;
"Grosvenor Terrace";;;"Kelvinside";;;
"Grove Street";;;;;;
"Hamilton Crescent";;;"Partick";;;
"Hamilton Drive";;;"Hillhead";;;
"Hamilton Park Terrace";;;;;;
"Hamilton Place";;;"Landside";;;
"Hamilton Street";;;"Glasgow, Partick";"Great, Little, north, south";;
"Hamilton Terrace";;;"(East, West) Partick";;;
"Hampden Place";;;"Mount Florida";;;
"Hampden Terrace";;;"Mount Florida";;;
"Hampton Court Terrace";;;;;;
"Hannover Street";;;;;;
"Harmony Place";;;"Govanhill";;;
"Hartfield Street";;;;;;
"Harvey Street";;;;;;
"Havannah Street";;;;;;
"Havelock Street";;;;;;
"Havelock Terrace";;;;;;
"Hawthorn Street";;;"Possilpark";;;
"Hayburn Crescent";;;"Partick";;;
"Hayburn Terrace";;;"Partick";;;
"Hayfield Street";;;;;;
"Hayfield Terrace";;;"Mount Florida";;;
"Henderson Street";;;"Glasgow, Kinning Park";;;
"Henrietta Street";;;;;;
"Herbertson Street";;;;;;
"Herriot Street";;;"Pollockshields";;;
"High Street";;;"Glasgow, Anderston, Gallowgate, Garnethill, ";;;
"Hill Street";;;"Springburn";;;
"Hillhead Street";;;"Hillhead";;;
"Hillsborough Square";;;"Hillhead";;;
"Hillsborough Terrace";;;"Hillhead";;;
"Hillside Gardens";;;"Partick";;;
"Hillside Terrace";;;"Dennistoun, Springburn";;;
"Hilton Terrace";;;;;;
"Holborn Terrace";;;"Kelvinside";;;
"Holland Place";;;;;;
"Holland Street";;;;;;
"Holm Street";;;;;;
"Holmhead Street";;;;;;
"Holyrood Crescent";;;;;;
"Holyrood Place";;;;;;
"Hope Street";;;"Glasgow, Anderston";;;
"Hope Terrace";;;;;;
"Hopehill Road";;;;;;
